id_al;nom;kcal;glucides;lipides;proteines;gramme
1;Banane;89;23;1.1;0.3;100
2;Aubergine;25;6;0.2;1;100
3;Jambon de dinde;126;2;4.8;18;100
4;Petit pois;61.4;4.7;0.87;5.8;100
5;Jambon Blanc;107;1.8;3.1;18;100
6;Endive;18;2.7;0.3;0.6;100
7;Chou;25;6;0.1;1.3;100
8;Chou-fleur;25;2.8;0.3;1.8;100
9;Brocolis;34;7;0.4;2.8;100
10;Mais(cru);64;15.41;0.5;1.95;100
11;Pain complet;293;54;3.3;11;100
12;Pain Blanc;265;49;3.2;9;100
13;Tomate(crue);18.4;2.26;0.26;0.86;100
14;Carotte(crue);35;8.22;0.18;0.76;100
15;Poireaux;61;14;0.3;1.5;100
16;Pâte;131;25;1.1;5;100
17;Pâte(complète);144;26.8;0.9;5;100
18;Riz;130;29;0.2;2.4;100
19;Riz(complet);111;23;0.9;2.6;100
20;Pois chiche;364;61;6;19;100
21;Patate douce;86;20;0.1;1.6;100
22;Yaourt Grecque;104;3.4;8.4;2.9;100
23;Lait d'amande;39;4.5;1.5;1.8;100
24;Myrtille;58;10.6;0.3;0.9;100
25;Banane;89;23;0.3;1.1;100;
26;Avoine;389;66.27;6.9;16.89;100
27;Chou rouge(cru);31;7.37;0.16;1.43;100
28;Haricot vert;29.4;7;0.1;1.8;100
29;Noix de cajou;553;30;44;18;100
30;Courgette;15.5;1.4;0.36;0.93;100
31;Poivron;27;6;0.1;1;100
32;Aubergines;24.3;3.1;0.1;1;100
33;Epinard;23;3.75;0.26;2.97;100
34;Quinoa;120;21.3;1.92;4.4;100
35;Epeautre;130;27.1;0.9;5.6;100
36;Poulet(escalope);111;0;1.8;24;100
37;Dinde(escalope);127;0;1.4;28.5;100
38;Lieu noir;102;0;1.1;23.1;100
39;Filet de perche;91;0;0.92;19.39;100
40;Lotte;70.2;0.4;0.2;16.7;100
41;Crevette;99;0,1.08;20.91;100
42;Cabillaud;83;0.9;0;18.6;100
43;Pomme;53.2;10.7;0.12;0.22;100
44;Prune;46;11.42;0.28;0.7;100
45;Fromage blanc;71;3.6;2.6;8.3;100
46;Noisette;646;62.4;17.6;15.03;100
47;Amande;593;52.9;5.6;23.6;100
48;Noix;655;65.21;13.71;15.23;100
49;Miel;304;82;0;0.3;100
50;Thon;109;0;1;25;

